id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate,lang
cx_en_000000_ed4b49,This is an outrage. I hope the monetary resolution of the suit hits them hard enough in the pocket that it never happens again to any disabled person.,0.0,0,0,0,0,0,en
cx_en_000000_ff9870,The state has no aloha for the disabled.,0.0,0,0,0,0,0,en
cx_en_000000_5c92a6,In other news my buddy may be audited by Revenue Canada for the money he claimed for speech therapy for his deaf daughter. Sunny ways.,0.0,0,0,0,0,0,en
cx_en_000000_132211,Immigrants return home all the time.,0.0,0,0,0,0,0,en
cx_en_000000_5ee7c9,"Hey Globe, this tax never applied to immigrants.",0.0,0,0,0,0,0,en
cx_en_000000_581000,It doesn't look good for the Chinese students.,0.0,0,0,0,0,0,en
cx_en_000000_076a96,Japan accepted two refugees in 2016.,0.0,0,0,0,0,0,en
cx_en_000000_f1cbb5,They can't be refugees if they are coming from the United States.,0.0,0,0,0,0,0,en
cx_en_000000_4a094c,Fantastically well written article. Pity there aren't more South African writers like this!,0.0,0,0,0,0,0,en
cx_en_000000_801fff,"Finally, something that is actually true. Canada is better for it's Vietnames immigrants.",0.0,0,0,0,0,0,en
cx_en_000000_24455c,"I would open my home to Syrian refugees, and welcome them to my neighborhood.",0.0,0,0,0,0,0,en
cx_en_000000_7ecc57,The article suggests refugee claims being made on the basis of instability in Mexico.,0.0,0,0,0,0,0,en
cx_en_000000_2ed123,It is the only means of livelihood for immigrants from Asia living in Canada.,0.0,0,0,0,0,0,en
cx_en_000000_994598,I am far happier and healthier post-transition than I was before. So are lots of trans people.,0.0,0,0,0,0,0,en
cx_en_000000_89d438,"Again, please realize that gender identity and sexuality are totally unrelated. Until you understand that, you will remain confused about this subject matter.",0.0,0,0,0,0,0,en
cx_en_000000_330442,Does anybody know how many transgender individuals are members of the special forces?,0.0,0,0,0,0,0,en
cx_en_000000_265f92,U.S. court just struck down his transgender military ban...,0.0,0,0,0,0,0,en
cx_en_000000_6a79c3,You you believe Natives were forced to become First Nations?,0.0,0,0,0,0,0,en
cx_en_000000_ed75d9,Ask the indigenous folks about the long view on immigration.,0.0,0,0,0,0,0,en
cx_en_000000_a3b1b9,Residential schools have scarred the First Nations community for generations. This has been documented.,0.0,0,0,0,0,0,en
cx_en_000000_36a226,Hats off to our Native American sisters and brothers who have served (disproportionately) our country!,0.0,0,0,0,0,0,en
cx_en_000000_af6512,The dictionary disagrees with you. They define Native Americans as indigenous peoples. Indians are from India.,0.0,0,0,0,0,0,en
cx_en_000000_b1869f,Time is right to appoint an indigenous Judge. Justin promised better relations with first nations and more funding.,0.0,0,0,0,0,0,en
cx_en_000000_457347,"It seems to me since this area has First Nations communities all through it, there would be cooperation among firefighters.",0.0,0,0,0,0,0,en
cx_en_000000_047a17,I think the headline should read both the government and the First Nations communities have failed their children. Nothing gets better until all sides admit their short comings.,0.0,0,0,0,0,0,en
cx_en_000000_d0f031,"Doesn't take ""all"". The European settlers weren't hunting down the indigenous people of North America or putting them on reservations, most had nothing to do with it. Still happened.",0.0,0,0,0,0,0,en
cx_en_000000_878609,By forcing Indigenous people onto the streets of cities they are contributing to the problem. London is very close to many poor people who need better services and help.,0.0,0,0,0,0,0,en
