id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate,lang
cx_en_000000_136234,Finding jobs for the disabled just got harder with the recent increases in minimum wage.,0.0,0,0,0,0,0,en
cx_en_000000_384341,This is not entirely true. I have an adult child who receives disability. she has been disabled since she was a child. There are different types of programs.,0.0,0,0,0,0,0,en
cx_en_000000_44a4b1,Disabled people are allowed to work part time up to a specific amount.,0.0,0,0,0,0,0,en
cx_en_000000_d3ca25,Cannabis oil is actually helping children with Autism...,0.0,0,0,0,0,0,en
cx_en_000000_f97bc3,"We definitely do. As a world community, we have VERY far to go in providing care for disabled children.",0.0,0,0,0,0,0,en
cx_en_000000_585165,"Don't forget Roosterskier Brand beard and moustache products! 100% Alaskan and 100% proceeds go to nonprofit outreach work in the disabled community- I'm not affiliated, just bearded!",0.0,0,0,0,0,0,en
cx_en_000000_c87ad0,"Again, not a claim. It's a fact. In the 33 states have education choice programs, most programs specifically cater to low-income and disabled students",0.0,0,0,0,0,0,en
cx_en_000000_7baf73,"I'm disabled and one fixed income. Since Caldwell is raising taxes and Handivan fares much faster than any COLA I receive, I better learn how to crawl!",0.0,0,0,0,0,0,en
cx_en_000000_3cbed8,maybe it was the cellphone and they thought that how can a deaf person hear a cellphone ring if someone is calling her.,0.0,0,0,0,0,0,en
cx_en_000000_f66217,"Medicaid was actually designed, and created, for the Disabled. Expansion to healthy and capable people actually reduces support for the people the program was intended to support.",0.0,0,0,0,0,0,en
cx_en_000000_c84032,This is absolutely false. Autism is not linked to vaccines.,0.0,0,0,0,0,0,en
cx_en_000000_2ac4d8,"As a deaf woman, I enjoy all forms of liturgical music as much as I do the sermons.",0.0,0,0,0,0,0,en
cx_en_000000_17ca0d,"Stealing the wheelchair was not nice. Possibly, the person who stole it had a need for it. Perhaps someone has a wheelchair hanging around they could donate.",0.0,0,0,0,0,0,en
cx_en_000000_09bba4,When I see elected officials help people - truly help like the wheelchair story that is good. It does not get political. It's just working to help a person in need.,0.0,0,0,0,0,0,en
cx_en_000000_06b886,being disabled does not mean unable.. expect a fair days wage for a fair days work i was always told..,0.0,0,0,0,0,0,en
cx_en_000000_20ff7a,I'm a refugee.,0.0,0,0,0,0,0,en
cx_en_000000_c57ff0,"I am Chinese, everyone older enough here knows it.",0.0,0,0,0,0,0,en
cx_en_000000_7316ab,We're all immigrants.,0.0,0,0,0,0,0,en
cx_en_000000_7e9180,Jesus was a refugee.,0.0,0,0,0,0,0,en
cx_en_000000_931d01,Good for the Chinese.,0.0,0,0,0,0,0,en
cx_en_000000_63c265,Legal immigrants built this country.,0.0,0,0,0,0,0,en
cx_en_000000_bf785e,Tunisia is an Arab democracy.,0.0,0,0,0,0,0,en
cx_en_000000_9166df,Not all immigrants arrive broke.,0.0,0,0,0,0,0,en
cx_en_000000_7edaa8,LEGAL immigrants have nothing to fear.,0.0,0,0,0,0,0,en
cx_en_000000_4ea401,Immigrants are the American middle class!,0.0,0,0,0,0,0,en
cx_en_000000_57ea32,Anti immigration and anti immigrant are different.,0.0,0,0,0,0,0,en
cx_en_000000_ef6ba7,Excellent historical relevance with an immigrant perspective.,0.0,0,0,0,0,0,en
cx_en_000000_905836,"The Syrian refugees need modern, quality single-family homes.",0.0,0,0,0,0,0,en
cx_en_000000_3d81b8,"Bangladesh, Malaysia and Pakistan are not Arab nations.",0.0,0,0,0,0,0,en
cx_en_000000_6705ce,They came from Asia so they're also immigrants.,0.0,0,0,0,0,0,en
cx_en_000000_d63a90,Please provide evidence for the refugee and TFW figures.,0.0,0,0,0,0,0,en
cx_en_000000_ddbbe6,Asylum seekers and refugees A distinction without a difference.,0.0,0,0,0,0,0,en
cx_en_000000_678ec8,Somali refugees have made their way to Sun River.,0.0,0,0,0,0,0,en
cx_en_000000_135eeb,Most of the influx isn't Mexican but central American!,0.0,0,0,0,0,0,en
